reefName,year,sst
U/N Reef (11-321),1981,28.9336422906406
U/N Reef (11-322),1981,28.9150145986806
U/N Reef (11-323),1981,28.9254324401634
U/N Reef (11-324),1981,28.8577262845814
U/N Reef (11-800),1981,29.1943584968304
Haggerston Reef (12-001),1981,29.1349269549052
Bannan Reef (12-002),1981,29.1358553568522
Mason Reef (12-003a),1981,29.1047174842269
U/N Reef (12-003b),1981,29.1353923479716
U/N Reef (12-003c),1981,29.118688583374
U/N Reef (12-003d),1981,29.1006740535702
Moody Reef (12-004),1981,29.1403054793676
Young Reef (12-005),1981,29.1530502143948
Laurel Reef (12-006),1981,29.1390257599533
Fison Reefs (12-027c),1981,29.117118302212
U/N Reef (12-028),1981,29.0587474756074
U/N Reef (12-029),1981,29.0587474756074
U/N Reef (12-030),1981,29.0943530753807
U/N Reef (12-031),1981,29.0543438679463
U/N Reef (12-032),1981,29.0543438679463
U/N Reef (12-033),1981,29.0657382429692
U/N Reef (12-034),1981,29.0657382429692
U/N Reef (12-035),1981,29.0615235749666
U/N Reef (12-036),1981,29.0657382429692
Wishbone Reef (12-037),1981,29.0649221692766
U/N Reef (12-038a),1981,29.0615235749666
U/N Reef (12-038b),1981,29.0615235749666
U/N Reef (12-039),1981,29.0657382429692
U/N Reef (12-040),1981,29.0724395030254
U/N Reef (12-041),1981,29.09049691652
U/N Reef (12-042),1981,29.0724395030254
Martha Ridgway Reef (North) (12-043a),1981,29.0802825852936
Martha Ridgway Reef (South) (12-043b),1981,29.0813702901204
Piper Reef (12-012),1981,29.1556373172336
Inset Reef (12-013),1981,29.1556373172336
Hazel Reef (12-014),1981,29.1556373172336
Ada Reef (12-015),1981,29.1774790022108
Gallon Reef (12-016a),1981,29.1304373307662
Forbes Islands Reef (12-016b),1981,29.1304373307662
U/N Reef (12-016c),1981,29.115029053461
Lion Reef (12-017),1981,29.1709065891447
Daniell Reef (12-018),1981,29.1709065891447
North Pint Patch (12-019),1981,29.154332669576
South Pint Patch (12-020),1981,29.152010314766
Andrew Reef (12-021),1981,29.157903364335
U/N Reef (12-022),1981,29.1693431345622
Kangaroo Shoals (12-023),1981,29.1544503484453
U/N Reef (12-024),1981,29.1344846294772
U/N Reef (12-025),1981,29.171940167745
Kemp Rocks Reef (12-026),1981,29.1572353099955
Quoin Reef (12-027),1981,29.138142712911
Eel Reef (12-027a),1981,29.1427080708165
Dolphin Reef (12-096),1981,29.1435840212066
U/N Reef (12-097),1981,29.1367530630092
Second Small Reef (12-098),1981,29.1367530630092
Southern Small Detached Reef (12-099),1981,29.1257322231929
U/N Reef (12-100),1981,29.1412864685059
U/N Reef (12-101),1981,29.13990320762
U/N Reef (12-044),1981,29.0823068795381
U/N Reef (12-045),1981,29.0823068795381
U/N Reef (12-046),1981,29.0823068795381
U/N Reef (12-047),1981,29.0903609417103
U/N Reef (12-048),1981,29.0903609417103
U/N Reef (12-049),1981,29.0903609417103
U/N Reef (12-050),1981,29.0903609417103
U/N Reef (12-051),1981,29.0903609417103
William Reef (East) (12-052a),1981,29.0836445404603
William Reef (West) (12-052b),1981,29.0836445404603
Henry Reef (12-053),1981,29.0903609417103
Lloyds Reef (12-054),1981,29.090551557995
U/N Reef (12-055a),1981,29.0836432951468
U/N Reef (12-055b),1981,29.090551557995
Mantis Reef (12-056),1981,29.0852812085833
U/N Reef (12-057),1981,29.1045314938414
Ferguson Reef (12-058),1981,29.0920944213867
U/N Reef (12-059),1981,29.1096739720817
U/N Reef (12-060),1981,29.117118302212
Lagoon Reef (12-061),1981,29.1096739720817
U/N Reef (12-062),1981,29.1200329751679
U/N Reef (12-063),1981,29.1119523328893
U/N Reef (12-064),1981,29.1208088000615
U/N Reef (12-065),1981,29.1208088000615
U/N Reef (12-066),1981,29.1256227396955
Northern Small Detached Reef (12-067),1981,29.1119523328893
U/N Reef (12-068),1981,29.1200329751679
U/N Reef (12-069),1981,29.1253123376884
U/N Reef (12-070),1981,29.1253123376884
U/N Reef (12-071),1981,29.1253123376884
Middle Reef (12-072),1981,29.1605847895831
Pigeon Reef (12-073),1981,29.174283651658
U/N Reef (12-075),1981,29.169109367189
Rocky Island Reef (12-076),1981,29.1632339807204
U/N Reef (12-077),1981,29.1681295786148
Restoration Island Reef (12-078),1981,29.167818069458
U/N Reef (12-080),1981,29.167818069458
Edward Shoal (12-081),1981,29.1820271338946
U/N Reef (12-082),1981,29.1820271338946
U/N Reef (12-083),1981,29.1820271338946
Lloyd Island Reef (12-084),1981,29.1977035616651
Hazelgrove Reefs (12-085),1981,29.19008540011
May Reef (12-086),1981,29.19008540011
U/N Reef (12-087),1981,29.1977035616651
Sunter Reef (12-088),1981,29.1977035616651
Exit Reef (12-089),1981,29.19008540011
Waight Bank (12-091),1981,29.1957599549066
U/N Reef (12-092),1981,29.1253123376884
Bunker Reef (12-093),1981,29.1367576763194
Long Sandy Reef (12-094),1981,29.1237788537536
U/N Reef (12-095),1981,29.1314628521601
Sunk Reef (12-122),1981,29.1928143501282
U/N Reef (12-123),1981,29.1881269915351
U/N Reef (12-124),1981,29.1935383125588
Rocky Island Reef (12-125),1981,29.1935383125588
Frederick Patches (12-126),1981,29.1935383125588
U/N Reef (12-127),1981,29.1903816310839
Chapman Reef (12-129),1981,29.2060512588138
U/N Reef (12-130),1981,29.2148360548348
U/N Reef (12-131),1981,29.2164813618601
Allen Reef (12-132),1981,29.2060512588138
U/N Reef (12-133),1981,29.225138982137
U/N Reef (12-134),1981,29.2126873795704
U/N Reef (12-135),1981,29.2126873795704
Hammond Reef (12-136),1981,29.2297966139657
U/N Reef (12-137),1981,29.2252862082587
U/N Reef (12-138),1981,29.2297966139657
U/N Reef (12-139),1981,29.2148360548348
U/N Reef (12-141),1981,29.2252862082587
Curd Reef (12-102),1981,29.1486048544607
